arxiv_id,reader_id,human_jargon_term,definition_text,model
2007.00714v4,rid1,target node,"In the context of the given abstract, a ""target node"" refers to the specific part or element in a network (such as in a diagram showing a series of events or actions) that the study aims to analyze or understand how it is influenced by other parts or elements within the same network.",gpt4_abstract
2007.00714v4,rid1,upstream noise terms,Upstream noise terms refer to random disturbances or variations that affect a specific part of a system before influencing other parts or outcomes in a chain of events or processes. These are essentially the initial random inputs that propagate through a system and impact its behavior or results.,gpt4_abstract
2007.00714v4,rid1,upstream noise terms,"Upstream noise terms refer to variations or disturbances that originate earlier in a process or system, which affect the outcomes further along in that system. These noise terms represent the unexpected or unaccounted-for factors that impact downstream results or measurements.",gpt4_rag
2301.13755v3,rid1,Planning with Dual Value Networks,"Planning with Dual Value Networks (PDVN) is a method used in computer science to improve how machines plan multiple steps in chemical synthesis. It uses two different systems (value networks) to evaluate both the feasibility and cost of each step, helping to find more efficient and possible ways to create a chemical compound.",gpt4_abstract
2301.13755v3,rid1,Planning with Dual Value Networks,"Planning with Dual Value Networks (PDVN) is a sophisticated method used in crafting synthetic paths for chemicals, where two separate networks help predict the most practical and cost-effective routes to synthesize molecules. This technique blends the planning of synthetic steps and updating network predictions to refine and improve the paths over time.",gpt4_rag
2301.13755v3,rid1,Retro*,"Retro* is a computer algorithm designed to help chemists determine the steps needed to create a specific chemical compound starting from simpler substances. It uses a type of problem-solving approach modeled after human decision-making processes to efficiently explore possible reaction paths, making it easier to find the best way to synthesize new compounds.",gpt4_rag
2301.13755v3,rid1,Retro*,"Retro* is a type of multi-step planner used in computational chemistry to devise pathways for synthesizing complex molecules, starting from simpler, commercially available substances. It is part of computer algorithms that assist chemists in drug development and materials science by finding efficient routes for chemical synthesis.",gpt4_abstract
2301.13755v3,rid1,RetroGraph,"RetroGraph is an advanced method used for planning chemical syntheses. It utilizes a graph-based approach to search through possible chemical reactions, helping to improve the efficiency and effectiveness of finding the best pathways to synthesize molecules.",gpt4_rag
2301.13755v3,rid1,RetroGraph,"RetroGraph is a type of computer algorithm used to plan multiple steps in the chemical synthesis of molecules, particularly useful in developing new drugs or materials by suggesting efficient sequences of chemical reactions starting from simpler, available substances.",gpt4_abstract
2301.13755v3,rid1,Retrosynthesis,"Retrosynthesis is a method used by chemists to design a sequence of chemical reactions to create a desired molecule from simpler starting materials. It's like planning a route in reverse, starting from the destination (the complex molecule) and figuring out the best way backward to easily available substances.",gpt4_rag
2301.13755v3,rid1,Retrosynthesis,"Retrosynthesis is a method used by chemists to plan the creation of complex molecules by breaking them down into simpler, more readily available starting materials. This approach helps in figuring out a step-by-step process to synthesize a target molecule, starting from basic compounds.",gpt4_abstract
2301.13755v3,rid1,USPTO dataset,The USPTo dataset is a collection of chemical reactions extracted from patents filed with the United States Patent and Trademark Office. It is commonly used in scientific research to train and test algorithms that predict chemical reactions.,gpt4_rag
2301.13755v3,rid1,USPTO dataset,"The USPTO dataset refers to a collection of data that includes various chemical reactions, which is used to train and evaluate machine learning models for predicting chemical synthesis processes. This dataset is derived from the United States Patent and Trademark Office, which holds numerous patents, including those related to chemical compounds and their synthesis methods.",gpt4_abstract
2301.13755v3,rid1,multi-step planners,"Multi-step planners are tools used in chemical synthesis to plan out a series of chemical reactions needed to create a desired molecule from simpler starting materials. These planners work step-by-step to construct a complete synthesis pathway, using each step to progressively break down the target molecule into simpler components.",gpt4_rag
2301.13755v3,rid1,multi-step planners,"Multi-step planners are tools used in scientific research to design and sequence a series of reactions that convert simple starting materials into more complex target molecules, enabling efficient synthesis planning over multiple steps. These planners help researchers determine the best pathway to create a desired molecule, considering factors like the feasibility and cost of each reaction in the sequence.",gpt4_abstract
2301.13755v3,rid1,reinforcement learning,Recovery learning is a type of artificial intelligence that involves teaching a computer system to make decisions by rewarding it for correct actions and punishing it for incorrect ones. This method allows the system to learn from its experiences and improve its performance over time.,gpt4_abstract
2301.13755v3,rid1,reinforcement learning,Reinforcement learning is a type of machine learning where a system learns to make decisions by trying different actions and receiving feedback from those actions in terms of rewards or penalties. This process helps the system gradually learn which actions lead to the best outcomes over time.,gpt4_rag
2301.13755v3,rid1,single-step accuracy,"Single-step accuracy refers to the precision and reliability of predicting the correct chemical reactions that break down a product molecule into simpler reactants in just one step. This measure is crucial in the field of retrosynthesis, where the goal is to determine a series of reactions that can convert complex molecules into simpler, available substances effectively and accurately.",gpt4_rag
2301.13755v3,rid1,single-step accuracy,Single-step accuracy refers to how well a model can predict the outcome of a single reaction in the process of turning simpler chemicals into a complex target molecule. It measures the model's ability to correctly choose the right chemical reaction at each individual step without considering the entire sequence of reactions leading to the final product.,gpt4_abstract
2301.13755v3,rid1,single-step predictor,A single-step predictor in the context of chemical synthesis is a tool used to identify the best chemical reaction for turning one specific molecule into another in just one step. This type of predictor uses machine learning to evaluate potential reactions quickly and choose the most effective one for each step in creating a larger sequence needed to produce a target molecule.,gpt4_abstract
2301.13755v3,rid1,single-step predictor,"A single-step predictor in the context of chemistry and machine learning is a tool that suggests possible ways to break down a complex molecule into simpler components in one reaction step. This step is crucial for understanding and planning the production of new compounds using simpler, already available starting materials.",gpt4_rag
2301.13755v3,rid1,single-step reaction predictors,Single-step reaction predictors are tools used in chemistry to suggest how a complex molecule can be broken down into simpler parts in one reaction step. These tools help chemists understand potential ways to deconstruct molecules efficiently.,gpt4_rag
2301.13755v3,rid1,single-step reaction predictors,"Single-step reaction predictors are tools used in chemistry to forecast the outcome of an individual chemical reaction, such as determining what product would result from combining certain reactants. These predictors help chemists understand and plan specific steps within a larger chemical synthesis process.",gpt4_abstract
2301.13755v3,rid1,tree-shaped MDP,"A tree-shaped MDP (Markov Decision Process) is a model used to represent step-by-step decisions, where each choice leads to a new set of options, similar to branches on a tree. This structure is used to explore different possible outcomes from each decision, helping to find the best strategy by considering multiple future scenarios.",gpt4_rag
2301.13755v3,rid1,tree-shaped MDP,"A tree-shaped MDP (Markov Decision Process) is a framework used in decision-making models where choices branch out like a tree from one decision to the next. Each branch represents a possible decision or outcome, helping to systematically explore different sequences of decisions to achieve the best possible result in planning or solving a problem.",gpt4_abstract
2305.11927v2,rid1,Sprite,"Sprite is a web-based system designed for building and improving computer vision (CV) models, which are algorithms that can understand and interpret images from videos. It helps users, particularly those without extensive machine learning expertise, to easily identify and correct errors in the model by using interactive visualizations and tools.",gpt4_rag
2305.11927v2,rid1,Sprite,Sprite is a system designed to assist users in creating computer vision models that classify and detect objects within images taken from videos. It incorporates interactive visualizations that aid users in selecting and evaluating problematic images to enhance model performance.,gpt4_abstract
2307.03067v2,rid1,DeepOnto,"DeepOnto is a software package designed to help create and manage digital databases called ontologies, which organize complex information in a way that both computers and people can understand. It uses advanced techniques from artificial intelligence to enhance the way these databases are built and used.",gpt4_rag
2307.03067v2,rid1,DeepOnto,"DeepOnto is a software tool designed to help merge the capabilities of ontology engineering (the way information is categorized and related in a field like biology or computer science) with advanced AI methods, such as deep learning, to enhance how data is processed and utilized in these systems. It translates complex structural data into a format usable by AI, facilitating tasks like aligning and completing knowledge databases.",gpt4_abstract
2307.03067v2,rid1,Jena,"Jena is a software framework that provides tools for building applications that can handle and interact with data formatted according to the rules of the Semantic Web, particularly using ontology languages like OWL, which allow the creation of complex knowledge structures.",gpt4_rag
2307.03067v2,rid1,Jena,"Jena is a software package that helps users manage and process ontologies, which are structured frameworks for organizing information. It provides tools to develop applications that handle structured data in a way that makes it understandable and usable by computers.",gpt4_abstract
2307.03067v2,rid1,OWL API,"The OWL API is a toolset that helps software developers manage and work with OWL ontologies, which are structured frameworks for organizing information, allowing computers to process complex relationships between concepts in a way similar to how human reasoning works.",gpt4_rag
2307.03067v2,rid1,OWL API,"The OWL API is a software interface designed to help programmers create, manipulate, and manage ontologies (structured frameworks of knowledge) coded in the OWL language, which is a format used for organizing complex information so that computers can process it. Essentially, it provides a set of tools that make it easier to interact with and utilize this type of data in software applications.",gpt4_abstract
2307.03067v2,rid1,PyTorch,PyTorch is a programming tool that provides ways for computers to learn from and understand data. It's especially good for projects that involve writing software which can make decisions or predictions based on information it has learned.,gpt4_rag
2307.03067v2,rid1,PyTorch,"PyTorch is a programming tool used primarily for artificial intelligence projects, particularly in developing and training deep learning models, which are systems designed to mimic human learning and thought processes. It is favored for its flexibility and ease of use, particularly in research and development environments.",gpt4_abstract
2307.03067v2,rid1,Tensorflow,Tensorflow is a software tool commonly used in artificial intelligence for creating models that can process and understand data in ways similar to human learning and reasoning. It is particularly popular for tasks that involve recognizing patterns or making decisions based on large amounts of data.,gpt4_abstract
2307.03067v2,rid1,Tensorflow,"TensorFlow is a software tool widely used in computing tasks where a large amount of data needs to be processed, like recognizing speech or understanding images. It allows developers to create complex systems that can learn from and make decisions based on data.",gpt4_rag
2307.03067v2,rid1,"downstream deep
learning-based applications","Downstream deep learning-based applications refer to processes or systems that utilize the output from deep learning models to perform specific tasks, such as making predictions or analyzing data, after the initial learning phase has been completed. Essentially, these are practical uses of the trained models to achieve or automate various functions and tasks in real-world scenarios.",gpt4_abstract
2307.03067v2,rid1,"downstream deep
learning-based applications","Downstream deep learning-based applications refer to tasks or processes that use the outputs from earlier stages of a deep learning model. These applications take advantage of the learned features or patterns to perform specific actions or make decisions, such as identifying objects in photos, translating languages, or recommending products.",gpt4_rag
2307.03067v2,rid1,normalisation,"Normalisation, in the context of ontology engineering, refers to the process of standardizing and organizing data within an ontology so that it follows a consistent format and structure. This makes the data easier to use and integrate with other systems, particularly for tasks involving deep learning applications.",gpt4_abstract
2307.03067v2,rid1,normalisation,"Normalisation is a process used in creating and managing databases or systems of organized information, which simplifies complex data into a more standard and consistent format. This ensures that information is presented in a clear and consistent manner, making it easier to understand, use, and analyze.",gpt4_rag
2307.03067v2,rid1,ontologies,"Ontologies are like detailed guides that organize and explain various concepts and terms within a particular domain, helping both humans and computer programs understand and agree on specific meanings. They facilitate a shared understanding by defining the relationships between different concepts, making information easier to manage and use in various applications, such as on the internet or in database management.",gpt4_rag
2307.03067v2,rid1,ontologies,"Ontologies in this context are structured frameworks for organizing information, which define categories and the relationships between them, helping to make data more understandable and usable by humans and computer programs. They are used to categorize and integrate various types of knowledge systematically.",gpt4_abstract
2307.03067v2,rid1,"ontology
processing features","Ontology processing features refer to the tools and methods used in handling and manipulating ontologies, which are structured frameworks for organizing information. These features allow for activities like adding, removing, or altering the information within an ontology to ensure it accurately represents the knowledge in a specific domain.",gpt4_abstract
2307.03067v2,rid1,"ontology
processing features","Ontology processing features refer to the tools and functionalities used to manage and manipulate ontologies, which are structured frameworks for organizing information. These features allow users to perform tasks such as modifying, querying, and reasoning with the data defined within an ontology.",gpt4_rag
2307.03067v2,rid1,ontology API,"An ontology API is a tool that allows programmers to create, manage, and modify ontologies, which are structured frameworks that help organize and categorize information, making it easier for both humans and computers to understand. Essentially, it provides a set of commands that help handle the complex data in ontologies more efficiently.",gpt4_rag
2307.03067v2,rid1,ontology API,"An ontology API is a tool that allows software developers to interact with and manipulate sets of knowledge, which are organized in a structured way, resembling a digital library of concepts and their relationships. This makes it easier to work with complex information systems and to integrate various data sources cohesively.",gpt4_abstract
2307.03067v2,rid1,projection,"Projection in this context refers to the process of transforming complex ontology structures into simpler, more manageable formats like sets of RDF triples, making it easier to store, exchange, and work with ontological data.",gpt4_rag
2307.03067v2,rid1,projection,"In the context described, ""projection"" in terms of ontology engineering likely refers to the process of transforming or mapping specific parts or aspects of an ontology (a structured set of terms and concepts representing a domain of knowledge) into a different format or structure that is more suitable for specific tasks or analyses, especially for use in deep learning applications.",gpt4_abstract
2307.03067v2,rid1,taxonomy,"Taxonomy is a system that organizes and categorizes concepts or objects into a hierarchy, where they are arranged based on their similarities and differences. This helps in easily navigating, understanding, and retrieving information about the grouped categories.",gpt4_rag
2307.03067v2,rid1,taxonomy,"Taxonomy in this context refers to the method of organizing and categorizing information or data into a structured format, such as classifying different elements based on their characteristics and relationships within a hierarchical system. This helps in understanding and managing large sets of data more effectively.",gpt4_abstract
2307.03067v2,rid1,verbalisation,"Verbalisation in the context of ontology engineering refers to the process of converting the structured content of an ontology—such as its classes, relationships, and properties—into human-readable text. This makes it easier for people to understand the complex data and relationships represented in the ontology.",gpt4_abstract
2307.03067v2,rid1,verbalisation,"Verbalisation is the process of converting complex information, such as data or logical expressions, into easy-to-understand, natural language text. This makes technical concepts accessible and understandable to people who may not be familiar with the original technical language or format.",gpt4_rag
2307.05300v4,rid1,Chain-of-Thought,"Chain-of-Thought is a method used in language models like GPT-4 to enhance their reasoning abilities by simulating a step-by-step thought process to reach a conclusion, similar to how humans logically think through a problem before answering. This helps the model to better understand and solve complex tasks by breaking them down into manageable parts.",gpt4_abstract
2307.05300v4,rid1,Chain-of-Thought,"Chain-of-Thought is a method used in advanced computer programs that helps these programs think through problems step by step, similar to how a person would naturally think when trying to solve a problem. This approach allows the program to break down complex tasks into simpler, understandable parts before arriving at a solution.",gpt4_rag
2307.05300v4,rid1,Solo Performance Prompting,"Solo Performance Prompting is a method used by advanced AI models to solve complex tasks by acting out different roles or ""personas"" that collaborate and share ideas, much like a group of experts working together to come up with the best solution. This entire process happens internally within the AI, allowing it to handle a wide variety of tasks more effectively.",gpt4_rag
2307.05300v4,rid1,Solo Performance Prompting,"Solo Performance Prompting (SPP) is a technique that makes a single language model work as if it were multiple collaborative minds by giving it multiple personalities or roles to adopt depending on the task it's performing. This approach helps the model solve complex problems more effectively by combining different perspectives and types of thinking, much like a team of experts would.",gpt4_abstract
2307.05300v4,rid1,multi-turn,"""Multi-turn"" refers to an interaction involving multiple exchanges, like a conversation, where each turn represents a response or continuation building on the previous communications. In the context of AI, it relates to a series of interactions where the system generates responses based on a progressing dialogue, enhancing coherence and context understanding with each step.",gpt4_abstract
2307.05300v4,rid1,multi-turn,"Multi-turn refers to a process where an interaction or communication involves several rounds of exchange, allowing the involved parties to continually build upon or refine the information or solution being discussed.",gpt4_rag
2309.03685v2,rid1,Knowledge graphs,"Knowledge graphs are a way of organizing and managing information, where various concepts are represented as nodes and the relationships between these concepts are shown as links connecting these nodes. This structured format helps in easily connecting and accessing related information across different categories and contexts.",gpt4_rag
2309.03685v2,rid1,Knowledge graphs,"Knowledge graphs are tools used to store and manage complex sets of data by mapping out how different pieces of information are related to each other. They help in visualizing connections and relationships between facts and concepts, making it easier to understand and use the stored information effectively.",gpt4_abstract
2309.03685v2,rid1,PyGraft,"PyGraft is a software tool designed to create customizable and domain-independent knowledge graphs and schemas, which are structured models to organize and categorize information. It helps overcome limitations of data availability in certain fields by allowing users to generate varied and realistic datasets that can be used for testing and enhancing different data processing and machine learning applications.",gpt4_abstract
2309.03685v2,rid1,PyGraft,"PyGraft is a software tool that allows users to automatically create organizational frameworks and associated data sets, known as schemas and knowledge graphs, which can be customized to meet specific needs for various research and development projects. This tool is designed to help users simulate and analyze different scenarios in fields like machine learning or data-sensitive industries by generating realistic, synthetic data models quickly and efficiently.",gpt4_rag
2309.03685v2,rid1,RDFS and OWL constructs,"RDFS (Resource Description Framework Schema) and OWL (Web Ontology Language) constructs are tools used in building and organizing databases for the web that help define relationships and categories among various types of data. These constructs specify how data should be linked and classified to make it easier to share, search, and manage information on the internet.",gpt4_rag
2309.03685v2,rid1,RDFS and OWL constructs,"RDFS (Resource Description Framework Schema) and OWL (Web Ontology Language) constructs are tools used in creating frameworks to categorize and define the relationships between different data elements on the web. These constructs help in organizing information in a way that it can be easily understood and used by computers to perform more complex tasks, such as searching for specific information or making connections between different pieces of data.",gpt4_abstract
2309.03685v2,rid1,description logic (DL) reasoner,"A description logic (DL) reasoner is a software tool that helps to check the accuracy and consistency of relationships and data within a structured set of information, such as a database or knowledge graph. It ensures that the set rules and relationships make logical sense and do not contradict each other.",gpt4_rag
2309.03685v2,rid1,description logic (DL) reasoner,"A description logic (DL) reasoner is a software tool used to check and infer logical relationships and properties within a dataset, ensuring that the data follows specific rules and is logically consistent. It helps in maintaining the accuracy and integrity of the information in systems like knowledge graphs by automatically figuring out what is true based on the given data and rules.",gpt4_abstract
2309.03685v2,rid1,domain-agnostic,"Domain-agnostic refers to a tool or system that is designed to work across multiple fields or areas of expertise without needing modifications. This means it can handle various types of information and applications, whether it's business, healthcare, education, or any other field.",gpt4_rag
2309.03685v2,rid1,domain-agnostic,"The term ""domain-agnostic"" refers to a technology or tool that is designed to be used across different areas of study or types of data without needing to be specialized for any particular one. This means it can be applied universally, regardless of the field or subject matter it is used for.",gpt4_abstract
2309.03685v2,rid1,schema,"A schema is a structured plan or outline that defines the organization and relationships between elements in a system. For example, in a database, a schema would specify how the data is categorized, which data items exist, and how they link to each other, ensuring that the information is organized in a consistent and understandable way.",gpt4_rag
2309.03685v2,rid1,schema,"A schema, in the context of knowledge graphs, refers to a structured framework or blueprint that defines how data is organized and how different pieces of information relate to each other. It acts like a template to guide the construction and interpretation of data within the knowledge graph.",gpt4_abstract
2310.06155v3,rid1,breadth-first and depth-first RQ generation,"Breadth-first and depth-first RQ generation are two methods used in developing research questions. In the breadth-first approach, a wide range of questions are explored broadly before narrowing down to specifics, whereas in depth-first, the focus starts deep on a limited set of questions before expanding to others.",gpt4_abstract
2310.06155v3,rid1,breadth-first and depth-first RQ generation,"Breadth-first RQ generation involves creating multiple research questions at the same level of detail simultaneously, allowing a user to explore a variety of topics at once. Depth-first RQ generation, on the other hand, focuses on developing a single research question further, adding more specific details before moving on to create another question, thus delving deeper into the topic step by step.",gpt4_rag
2310.06155v3,rid1,research questions,"Research questions are specific queries that guide scientific studies and investigations, focusing on discovering new information or understanding complex issues. These questions define the scope and direction of the research, helping scholars systematically address and explore the topics of interest.",gpt4_rag
2310.06155v3,rid1,research questions,"Research questions are specific queries that researchers aim to answer through their investigations and studies. These questions guide the focus and direction of the research, helping to clarify what the researcher intends to examine or discover.",gpt4_abstract
2310.08992v3,rid1,HumanEval,"HumanEval is a benchmark used to evaluate how well computer programs, generated by AI models, can write code that solves programming problems. It assesses the AI's ability to understand a problem described in natural language and then produce a functional code solution.",gpt4_rag
2310.08992v3,rid1,HumanEval,HumanEval is a benchmark for evaluating the programming capabilities of large language models by presenting them with coding problems to solve.,gpt4_abstract
2310.08992v3,rid1,MBPP,Empty Response,gpt4_rag
2310.08992v3,rid1,MBPP,"MBPP, or Massively Multilingual Benchmark for Programming Problems, is a collection of programming tasks used to evaluate the capabilities of programming language models, assessing how well these models can understand and solve various coding challenges.",gpt4_abstract
2310.08992v3,rid1,modularized code,"Modularized code refers to the practice of breaking down a large programming task into smaller, distinct sections or modules that each handle a specific part of the task. This approach simplifies writing, testing, and maintaining code, as each module can be developed and used independently yet works together as part of the larger program.",gpt4_abstract
2310.08992v3,rid1,modularized code,"Modularized code refers to a programming approach where the code is broken down into smaller, independent sections called modules or sub-modules. Each module handles a specific part of the program's functionality, which makes the entire program easier to manage, understand, and update.",gpt4_rag
2310.08992v3,rid1,monolithic,Empty Response,gpt4_rag
2310.08992v3,rid1,monolithic,"In the context of programming, ""monolithic"" refers to code that is written as a single large block or unit, without being broken down into smaller, more manageable parts or modules.",gpt4_abstract
2311.02760v2,rid1,ablation study,An ablation study is a research method used to determine the impact of various parts of a system by systematically removing or modifying them and observing the effect of these changes. This helps researchers understand which components are critical for the system's performance.,gpt4_abstract
2311.02760v2,rid1,ablation study,"An ablation. study is a research approach where specific components of a system are removed or ""ablated"" to understand the contribution of each part to the overall function or performance of the system. By observing how the performance changes without these components, researchers can identify what each part does and how important it is to the system.",gpt4_rag
2311.02760v2,rid1,causality graph,"A causality graph is a visual representation that maps out and shows the relationships between different events or phenomena, indicating how one event can cause another. This can help in understanding and tracing the origin and impact of different causes and effects.",gpt4_abstract
2311.02760v2,rid1,causality graph,A causality graph is a visual tool used to show how different events or things (like incidents or concepts) influence each other. It helps in understanding what causes what and is often used to answer questions about these relationships.,gpt4_rag
2311.02760v2,rid1,knowledge graph tasks,"Knowledge graph tasks involve using a structured network of interconnected data, where entities (such as people, places, and things) and their interrelationships are represented as nodes and edges, respectively. These tasks might include searching for specific information, determining relationships between concepts, or verifying facts by exploring how data points are linked within the graph.",gpt4_abstract
2311.02760v2,rid1,knowledge graph tasks,"Knowledge graph tasks involve using a structured network of information, where concepts are represented as nodes and relationships between them as links, to perform specific functions such as answering questions, making recommendations, or identifying connections between pieces of information. These tasks help in deriving insights from large amounts of data by understanding the relationships and meaning behind different entities.",gpt4_rag
2311.02760v2,rid1,link prediction,"Link prediction is a method used in network science to estimate whether a connection or relationship between two entities in a network, like people in a social network or pages on a website, might exist even if it's not currently observed. It helps in forecasting which new interactions or associations are likely to occur in the future.",gpt4_abstract
2311.02760v2,rid1,link prediction,"Link prediction is a technique used to determine whether a connection or relationship might exist between two items in a network, such as people in a social network or pages on a website. This method uses existing connections to predict where new links might appear based on patterns or common characteristics.",gpt4_rag
2311.02760v2,rid1,provenance data,"Provenance data refers to information that helps trace the history and origin of certain data, showing where it comes from and how it has been used or changed over time. This might include details like the original source of the data or any updates made to it.",gpt4_rag
2311.02760v2,rid1,provenance data,"Provenance data refers to the information that explains the origin or source of other data, helping to understand where it comes from and how it was generated or collected. This type of data is important for verifying the accuracy and reliability of the information.",gpt4_abstract
2311.02760v2,rid1,reinforcement learning,"Reinforcement learning is a type of artificial intelligence where a computer program learns to make decisions by trying different actions and learning from the outcomes, similar to how a person might learn from their experiences. This learning process often involves receiving rewards or penalties based on the actions taken, helping the program understand which actions are better over time.",gpt4_rag
2311.02760v2,rid1,reinforcement learning,"Reinforcement learning is a type of artificial intelligence where a computer program learns to make decisions by trying different actions and seeing which ones produce the most favorable outcomes, much like how a person learns from trial and error. This method focuses on maximizing the rewards it receives from these actions over time, enabling it to adapt and optimize its behavior.",gpt4_abstract
2311.02760v2,rid1,supervised learning procedure,"Supervised learning is a method where a computer program learns from example data that has already been labeled correctly, to predict outcomes. By analyzing data with known outcomes, the program can learn patterns and rules that enable it to make predictions or decisions about new, similar data.",gpt4_rag
2311.02760v2,rid1,supervised learning procedure,"A supervised learning procedure involves training a computer model using data that already includes the correct answers, or outcomes. This method teaches the model to recognize patterns or make decisions based on examples where the input data and the desired result are both known.",gpt4_abstract
2311.10112v2,rid1,embedding-based,"Embedding-based methods involve creating digital representations, or ""embeddings,"" for items (such as entities and relationships in a knowledge graph) in a way that captures their similarities and relationships in a compact form. These embeddings help machines to understand and process complex data like graphs more effectively.",gpt4_abstract
2311.10112v2,rid1,embedding-based,"""Embedding-based"" refers to a method used in computer science where items such as words, phrases, or other types of data are converted into vectors of numbers. This process helps computers understand and process these items by placing similar ones close together in a high-dimensional space, making it easier to perform various tasks like recommendations or predictions.",gpt4_rag
2311.10112v2,rid1,temporal knowledge graphs,"Temporal knowledge graphs are an advanced form of database that not only store facts by connecting data points and their relationships but also include the time aspect to these connections, making it possible to understand how relationships between data points change over time. This helps in representing dynamic information and understanding how things evolve.",gpt4_rag
2311.10112v2,rid1,temporal knowledge graphs,"Temporal knowledge graphs (TKGs) are advanced databases that not only store facts but also track how these facts change over time. They provide a way to observe and analyze how relationships and information evolve, making them useful for understanding trends and patterns across various periods.",gpt4_abstract
2311.10112v2,rid1,zero-shot relations,"Zero-shot relations refer to new or previously unseen connections or relationships between entities in a knowledge graph, for which no prior information or examples were available during the training of the model. This means the model must identify and handle these relations without having learned about them directly.",gpt4_abstract
2311.10112v2,rid1,zero-shot relations,"Zero-shot relations refer to relationships in a dataset that have not been seen during the training phase of a model, meaning they are entirely new or unseen when the model is tested or used for making predictions. This tests the model's ability to understand and handle new information it hasn't encountered before.",gpt4_rag
2312.00812v4,rid1,"LLM-conditioned Model
Predictive Control","LLM-conditioned Model Predictive Control (MPC) is a method where a language-based AI model (LLM) helps in making decisions such as choosing driving lanes, which are then used to direct a more traditional control system that plans and adjusts the vehicle's trajectory to ensure safe and efficient driving.",gpt4_rag
2312.00812v4,rid1,"LLM-conditioned Model
Predictive Control","LLM-conditioned Model Predictive Control (MPC) refers to a method where a large language model (LLM) is used to enhance traditional model predictive control systems in autonomous vehicles. This approach allows the system to make better decisions by incorporating advanced reasoning and understanding, improving the vehicle's performance and safety in unpredictable situations.",gpt4_abstract
2312.00812v4,rid1,LLM-enabled interactive behavior planning scheme,"An LLM-enabled interactive behavior planning scheme refers to a method in which large language models (LLMs) are used to help autonomous vehicles make decisions about how to behave or react in different driving situations. This approach allows the vehicle to interact and plan its actions more like a human would, based on the common sense and reasoning abilities of the language models.",gpt4_abstract
2312.00812v4,rid1,LLM-enabled interactive behavior planning scheme,"An LLM-enabled interactive behavior planning scheme uses advanced computer algorithms capable of understanding and generating human-like text to make decisions about how a vehicle should behave in different driving situations, like when to change lanes or stop, by interacting and adapting based on the surrounding environment.",gpt4_rag
